SiteCode,Survey_Year,Start_Time,Start_Date,Start_Month,End_Time,End_Date,End_Month,
BR20EG,2015,12:00:00,17-07-15,July,03:30:00,26-07-15,July,
BR28LB,2015,13:00:00,31-07-15,July,14:30:00,07-08-15,August,
BR4,2015,11:00:00,18-08-15,August,09:30:00,25-08-15,August,actual end time 11:00?
BR67US,2015,11:00:00,31-07-15,July,14:00:00,07-08-15,August,
CM167NP,2015,12:00:00,08-09-15,September,11:00:00,15-09-15,September,
CR0,2014,11:00:00,02-07-14,July,15:00:00,09-07-14,July,
CR01SG,2014,11:00:00,02-07-14,July,15:00:00,09-07-14,July,
CR05EF,2013,18:00:00,15-09-13,September,13:00:00,22-09-13,September,
CR8,2013,18:00:00,15-09-13,September,13:30:00,22-09-13,September,
DA5,2015,11:00:00,24-08-15,August,19:00:00,01-09-15,September,
E105JP,2013,15:00:00,06-10-13,October,18:30:00,13-10-13,October,
E10NR,2014,15:00:00,03-09-14,September,12:50:00,11-09-14,September,
E140EY,2014,11:00:00,02-09-14,September,08:18:00,10-09-14,September,
E29RR,2015,13:00:00,25-05-15,May,21:00:00,02-06-15,June,
E47EN,2013,13:00:00,06-10-13,October,19:00:00,13-10-13,October,
HA53AA,2013,14:00:00,23-07-13,July,11:30:00,30-07-13,July,
HA86RB,2013,11:00:00,23-07-13,July,11:00:00,30-07-13,July,
IG110FJ,2014,16:00:00,21-08-14,August,10:00:00,01-09-14,September,
IG62XL,2015,14:00:00,08-05-15,May,12:30:00,15-05-15,May,
KT186AP,2015,13:00:00,27-07-15,July,06:00:00,05-08-15,August,
N17,2015,11:00:00,17-08-15,August,10:00:00,27-08-15,August,
N29BX,2014,11:00:00,15-09-14,September,10:00:00,22-09-14,September,
N41ES,2015,15:00:00,23-06-15,June,06:00:00,02-07-15,July,
N88JD,2015,13:00:00,11-07-15,July,21:00:00,19-07-15,July,
NW1,2013,15:00:00,08-07-13,July,23:43:35,14-07-13,July,
NW10TA,2015,11:00:00,15-10-15,October,13:30:00,22-10-15,October,
NW23SH,2015,11:00:00,11-08-15,August,13:00:00,18-08-15,August,
NW32BZ,2015,11:00:00,17-09-15,September,19:00:00,25-09-15,September,
NW33RY,2015,15:00:00,14-07-15,July,23:00:00,22-07-15,July,
RM143YB,2013,11:00:00,11-06-13,June,12:00:00,19-06-13,June,
RM154HX,2015,11:00:00,20-10-15,October,11:00:00,28-10-15,October,
RM25EL,2014,12:00:00,10-07-14,July,12:30:00,17-07-14,July,
RM41LD,2014,13:00:00,10-07-14,July,10:00:00,17-07-14,July,
RM41PL,2015,12:00:00,27-08-15,August,10:30:00,04-09-15,September,
SE109EY,2014,11:00:00,05-09-14,September,10:00:00,12-09-14,September,
SE116DN,2014,11:00:00,11-06-14,June,14:00:00,20-06-14,June,
SE12RT7,2014,11:00:00,19-05-14,May,12:30:00,27-05-14,May,changed the code from SE12RT-1
SE12RT10,2014,11:00:00,19-05-14,May,12:30:00,27-05-14,May,changed the code from SE12RT-2
SE154EE,2015,16:00:00,13-10-15,October,15:30:00,20-10-15,October,
SE220SD,2014,11:00:00,28-07-14,July,10:00:00,04-08-14,August,
SE23,2013,18:00:00,06-09-13,September,18:00:00,13-09-13,September,
SE232NZ,2015,11:00:00,16-09-15,September,17:00:00,23-09-15,September,
SE3,2013,15:00:00,06-09-13,September,18:00:00,13-09-13,September,
SE41SA,2014,13:00:00,20-06-14,June,11:00:00,30-06-14,June,
SE6,2014,12:00:00,19-08-14,August,19:00:00,26-08-14,August,
SE64PL,2015,10:00:00,24-05-15,May,18:00:00,01-06-15,June,
SE84EA,2014,14:00:00,19-08-14,August,08:00:00,27-08-14,August,
SW112PN,2013,15:00:00,16-08-13,August,15:00:00,23-08-13,August,
SW154JY,2014,11:00:00,27-08-14,August,10:00:00,03-09-14,September,
SW154LA,2013,11:00:00,02-07-13,July,21:00:00,07-07-13,July,
SW1E6BN,2014,11:00:00,30-05-14,May,10:00:00,06-06-14,June,
SW1W0QP,2014,11:00:00,30-05-14,May,09:30:00,06-06-14,June,
SW66DU,2014,11:00:00,16-09-14,September,17:00:00,23-09-14,September,
TN147QB,2015,13:00:00,25-06-15,June,21:00:00,03-07-15,July,
TW76BE,2014,11:00:00,30-07-14,July,11:00:00,06-08-14,August,
TW76ER,2015,11:00:00,23-06-15,June,11:00:00,30-06-15,June,
W112NN,2013,14:00:00,24-06-13,June,09:00:00,01-07-13,July,
W1T4BQ,2015,16:00:00,22-06-15,June,16:00:00,30-06-15,June,
W42PH,2014,12:00:00,30-07-14,July,10:00:00,06-08-14,August,
W55EQ,2014,15:00:00,28-08-14,August,14:00:00,05-09-14,September,
W84LA,2013,10:00:00,21-06-13,June,10:00:00,28-06-13,June,
WC2H8LG,2013,10:00:00,08-07-13,July,21:41:20,14-07-13,July,
WC2N6RH,2014,16:00:00,01-07-14,July,04:00:00,10-07-14,July,
